,addresses
baby-doge-coin,"{'binance-smart-chain': {'decimal_place': 9, 'contract_address': '0xc748673057861a797275cd8a068abb95a902e8de'}, 'ethereum': {'decimal_place': 9, 'contract_address': '0xac57de9c1a09fec648e93eb98875b212db0d460b'}}"
bifi,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x2791bfd60d232150bff86b39b7146c0eaaa2ba81'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xad260f380c9a30b1d60e4548a75010ede630b665'}}"
pancakeswap-token,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82'}, 'aptos': {'decimal_place': 8, 'contract_address': '0x159df6b7689437016108a019fd5bef736bac692b6d4a1f10c941f6fbb9a74ca6::oft::CakeOFT'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x152649ea73beab28c5b49b26eb48f7ead6d4c898'}}"
channels,"{'huobi-token': {'decimal_place': 18, 'contract_address': '0xd5f9bdc2e6c8ee0484a6293ce7fa97d96a5e1012'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xde9a73272bc2f28189ce3c243e36fafda2485212'}}"
bored-candy-city,"{'cronos': {'decimal_place': 18, 'contract_address': '0x06c04b0ad236e7ca3b3189b1d049fe80109c7977'}}"
cap,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x031d35296154279dc1984dcd93e392b1f946737b'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x43044f861ec040db59a7e324c40507addb673142'}}"
celer-network,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x4f9254c83eb525f9fcf346490bbb3ed28a81c667'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x3a8b787f78d775aecfeea15706d4221b40f345ab'}, 'energi': {'decimal_place': 18, 'contract_address': '0x1833e138fadf220eb951a8590b8ba9058785ddde'}}"
cetus-protocol,"{'sui': {'decimal_place': 9, 'contract_address': '0x6864a6f921804860930db6ddbe2e16acdf8504495ea7481637a1c8b9a8fe54b::cetus::CETUS'}}"
wrapped-centrifuge,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xc221b7e65ffc80de234bbb6667abdd46593d34f0'}}"
cherryswap,"{'okex-chain': {'decimal_place': 18, 'contract_address': '0x8179d97eb6488860d816e3ecafe694a4153f216c'}}"
tranchess,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6'}}"
chainge-finance,"{'fusion-network': {'decimal_place': 18, 'contract_address': '0x05573124c64c69d85687152b2942bcb0a3b26d99'}}"
chronos-finance,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x15b2fb8f08e4ac1ce019eadae02ee92aedf06851'}}"
claimswap,"{'klay-token': {'decimal_place': 18, 'contract_address': '0xcf87f94fd8f6b6f0b479771f10df672f99eada63'}}"
conic-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x9ae380f0272e2162340a5bb646c354271c0f5cfc'}}"
concave,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x000000007a58f5f58e697e51ab0357bc9e260a04'}}"
comb-finance,"{'fantom': {'decimal_place': 18, 'contract_address': '0xae45a827625116d6c0c40b5d7359ecf68f8e9afd'}}"
furucombo,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xffffffff2ba8f66d4e51811c5190992176930278'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x6ddb31002abc64e1479fc439692f7ea061e78165'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x5693fe17ad04f0d8f768ceeb863e62b522901440'}}"
compound-governance-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xc00e94cb662c3520282e6f5717214004a7f26888'}, 'near-protocol': {'decimal_place': 18, 'contract_address': 'c00e94cb662c3520282e6f5717214004a7f26888.factory.bridge.near'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x52ce071bd9b1c4b00a0b92d298c512478cad67e8'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xc3048e19e76cb9a3aa9d77d8c03c29fc906e2437'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x32137b9275ea35162812883582623cd6f6950958'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x354a6da3fcde098f8389cad84b0182725c6c91de'}, 'sora': {'decimal_place': 18, 'contract_address': '0x00dbd45af9f2ea406746f9025110297469e9d29efc60df8d88efb9b0179d6c2c'}, 'energi': {'decimal_place': 18, 'contract_address': '0x66bc411714e16b6f0c68be12bd9c666cc4576063'}}"
convergence,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xc834fa996fa3bec7aad3693af486ae53d8aa8b50'}}"
cook,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xff75ced57419bcaebe5f05254983b013b0646ef5'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x965b0df5bda0e7a0649324d78f03d5f7f2de086a'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x74189862b069e2be5f7c8e6ff08ea8e1b1948519'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x637afeff75ca669ff92e4570b14d6399a658902f'}}"
cvault-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x62359ed7505efc61ff1d56fef82158ccaffa23d7'}}"
capricorn,"{'': {'decimal_place': None, 'contract_address': ''}}"
cover-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x4688a8b1f292fdab17e9a90c8bc379dc1dbd8713'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xb01e8419d842beebf1b70a7b5f7142abbaf7159d'}}"
coinwind,"{'huobi-token': {'decimal_place': 18, 'contract_address': '0x80861a817106665bca173db6ac2ab628a738c737'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x422e3af98bc1de5a1838be31a56f75db4ad43730'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x34965f73cfa05bf8d8af37cb4af64fa950605ea8'}}"
clearpool,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x66761fa41377003622aee3c7675fc7b5c1c2fac5'}}"
cream-2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x2ba592f78db6436527729929aaf6c908497cb200'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '2ba592f78db6436527729929aaf6c908497cb200.factory.bridge.near'}, 'sora': {'decimal_place': 18, 'contract_address': '0x00521ad5caeadc2e3e04be4d4ebb0b7c8c9b71ba657c2362a3953490ebc81410'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xf4d48ce3ee1ac3651998971541badbb9a14d7234'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x657a1861c15a3ded9af0b6799a195a249ebdcbc6'}, 'energi': {'decimal_place': 18, 'contract_address': '0x1cca61099dcebe517f8cac58f27218e7aff2d3bf'}}"
cream-eth2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x49d72e3973900a195a155a46441f0c08179fdb64'}}"
crisp-scored-mangroves,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xef6ab48ef8dfe984fab0d5c4cd6aff2e54dfda14'}}"
crypto-com-chain,"{'': {'decimal_place': None, 'contract_address': ''}, 'ethereum': {'decimal_place': 8, 'contract_address': '0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b'}}"
cronaswap,"{'cronos': {'decimal_place': 18, 'contract_address': '0xadbd1231fb360047525bedf962581f3eee7b49fe'}}"
cropperfinance,"{'solana': {'decimal_place': 9, 'contract_address': 'DubwWZNWiNGMMeeQHPnMATNj77YZPZSAz2WVR5WjLJqz'}}"
curve-dao-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd533a949740bb3306d119cc777fa900ba034cd52'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x0994206dfe8de6ec6920ff4d779b0d950605fb53'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x172370d5cd63279efa6d502dab29171933a610af'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x1e4f97b9f9f913c46f1632781732927b9019c68b'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x11cdb42b0eb46d95f990bedd4695a6e3fa034978'}, 'sora': {'decimal_place': 18, 'contract_address': '0x002ead91a2de57b8855b53d4a62c25277073fd7f65f7e5e79f4936ed747fcad0'}, 'energi': {'decimal_place': 18, 'contract_address': '0xd3319eaf3c4743ac75aace77befcfa445ed6e69e'}}"
crodex,"{'cronos': {'decimal_place': 18, 'contract_address': '0xe243ccab9e66e6cf1215376980811ddf1eb7f689'}}"
defi-kingdoms-crystal,"{'defi-kingdoms-blockchain': {'decimal_place': 18, 'contract_address': '0x04b9da42306b023f3572e106b11d82aad9d32ebb'}}"
crystl-finance,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x76bf0c28e604cc3fe9967c83b3c3f31c213cfe64'}, 'cronos': {'decimal_place': 18, 'contract_address': '0xcbde0e17d14f49e10a10302a32d17ae88a7ecb8b'}}"
concentrator,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xb3ad645db386d7f6d753b2b9c3f4b853da6890b8'}}"
cryptex-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x321c2fe4446c7c963dc41dd58879af648838f98d'}}"
cub-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x50d809c74e0b8e49e7b4c65bb3109abe3ff4c1c1'}}"
concentrated-voting-power,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1'}}"
convex-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b'}}"
cyclone-protocol,"{'iotex': {'decimal_place': 18, 'contract_address': 'io1f4acssp65t6s90egjkzpvrdsrjjyysnvxgqjrh'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x810ee35443639348adbbc467b33310d2ab43c168'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x8861cff2366c1128fd699b68304ad99a0764ef9a'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xcfb54a6d2da14abecd231174fc5735b4436965d8'}}"
dackieswap,"{'base': {'decimal_place': 18, 'contract_address': '0xc2bc7a73613b9bd5f373fe10b55c59a69f4d617b'}}"
draggable-aktionariat-ag,"{'ethereum': {'decimal_place': 0, 'contract_address': '0x6f38e0f1a73c96cb3f42598613ea3474f09cb200'}}"
dao-maker,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0f51bb10119727a7e5ea3538074fb341f56b09ad'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4d2d32d8652058bf98c772953e1df5c5c85d9f45'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xcaa38bcc8fb3077975bbe217acfaa449e6596a84'}, 'step-network': {'decimal_place': 18, 'contract_address': '0xd67de0e0a0fd7b15dc8348bb9be742f3c5850454'}}"
darkcrypto,"{'cronos': {'decimal_place': 18, 'contract_address': '0x83b2ac8642ae46fc2823bc959ffeb3c1742c48b5'}}"
defi-franc,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x045da4bfe02b320f4403674b3b7d121737727a36'}}"
derivadao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3a880652f47bfaa771908c07dd8673a787daed3a'}}"
demeter,"{'sora': {'decimal_place': 18, 'contract_address': '0x00f2f4fda40a4bf1fc3769d156fa695532eec31e265d75068524462c0b80f674'}, 'astar': {'decimal_place': 18, 'contract_address': '0xb51541df05de07be38dcfc4a80c05389a54502bb'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x5e7f20e72c21f6d0bf0a2814fd4164176401cf8e'}}"
deri-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa487bf43cf3b10dffc97a9a744cbb7036965d3b9'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xe60eaf5a997dfae83739e035b005a33afdcc6df5'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x21e60ee73f17ac0a411ae5d690f908c3ed66fe12'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x2bda3e331cf735d9420e41567ab843441980c4b8'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x3d1d2afd191b165d140e3e8329e634665ffb0e5e'}}"
dforce-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xae6aab43c4f3e0cea4ab83752c278f8debaba689'}, 'energi': {'decimal_place': 18, 'contract_address': '0xc588d81d1a9ef1a119446482fc7cbcdb0012292a'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4a9a2b2b04549c3927dd2c9668a5ef3fca473623'}}"
defidollar-dao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x20c36f062a31865bed8a5b1e512d9a1a20aa333a'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x9899a98b222fcb2f3dbee7df45d943093a4ff9ff'}}"
defichain,"{'': {'decimal_place': None, 'contract_address': ''}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x361c60b7c2828fcab80988d00d1d542c83387b50'}, 'ethereum': {'decimal_place': 8, 'contract_address': '0x8fc8f8269ebca376d046ce292dc7eac40c8d358a'}}"
defil,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x09ce2b746c32528b7d864a1e3979bd97d2f095ab'}}"
defiplaza,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x2f57430a6ceda85a67121757785877b4a71b8e6d'}}"
defis-network,"{'eos': {'decimal_place': None, 'contract_address': ''}}"
dfx-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x888888435fde8e7d4c54cab67f206e4199454c60'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xa4914b824ef261d4ed0ccecec29500862d57c0a1'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xe7804d91dfcde7f776c90043e03eaa6df87e6395'}}"
dfyn-network,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x9695e0114e12c0d3a3636fab5a18e6b737529023'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xc168e40227e4ebd8c1cae80f7a55a4f0e6d66c97'}}"
dhedge-dao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xca1207647ff814039530d7d35df0e1dd2e91fa84'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x8038f3c971414fd1fc220ba727f2d4a0fc98cb65'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xaf9fe3b5ccdae78188b1f8b9a49da7ae9510f151'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x8c92e38eca8210f4fcbf17f0951b198dd7668292'}}"
arkadiko-protocol,"{'stacks': {'decimal_place': 6, 'contract_address': 'SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR'}}"
dmd,"{'eos': {'decimal_place': None, 'contract_address': ''}}"
dodo,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd.factory.bridge.near'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x67ee3cb086f8a16f34bee3ca72fad36f7db929e2'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x69eb4fa4a2fbd498c257c57ea8b7655a2559a581'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xe4bf2864ebec7b7fdf6eeca9bacae7cdfdaffe78'}, 'aurora': {'decimal_place': 18, 'contract_address': '0xe301ed8c7630c9678c39e4e45193d1e7dfb914f7'}, 'energi': {'decimal_place': 18, 'contract_address': '0x4fec4e046e6b8de5d22785c3fbdb104f14f5a306'}}"
piedao-dough-v2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xad32a8e6220741182940c5abf610bde99e737b2d'}}"
doveswap,"{'polygon-zkevm': {'decimal_place': 18, 'contract_address': '0x696c0ba235444607a1c4b93e6b34ba14928c1b60'}}"
dopex,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x6c2c06790b3e3e3c38e12ee22f8183b37a13ee55'}}"
dual-finance,"{'solana': {'decimal_place': 6, 'contract_address': 'DUALa4FC2yREwZ59PHeu1un4wis36vHRv5hWVBmzykCJ'}}"
unit-protocol-duck,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x92e187a03b6cd19cb6af293ba17f2745fd2357d5'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x602a3ad311e66b6f5e567a13016b712aba0625c6'}}"
monopoly-layer2-duo,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x322f15d4bedaa20c178fb75b2628663d2da19736'}}"
davos-protocol,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xec38621e72d86775a89c7422746de1f52bba5320'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xa48f322f8b3edff967629af79e027628b9dd1298'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8ec1877698acf262fe8ad8a295ad94d6ea258988'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x8ec1877698acf262fe8ad8a295ad94d6ea258988'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xb396b31599333739a97951b74652c117be86ee1d'}}"
rhinofi,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xdddddd4301a082e62e84e43f474f044423921918'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xa7aa2921618e3d63da433829d448b58c9445a4c3'}}"
dxsale-network,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf063fe1ab7a291c5d06a86e14730b00bf24cb589'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x2665375a48a76bb49f6b375844eb88390840c0b8'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x04f73a09e2eb410205be256054794fb452f0d245'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x8f6196901a4a153d8ee8f3fa779a042f6092d908'}}"
dydx,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x92d6c1e31e14520e676a687f0a93788b716beff5'}}"
dystopia,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x39ab6574c289c3ae4d88500eec792ab5b947a5eb'}}"
dexpad,"{'cronos': {'decimal_place': 18, 'contract_address': '0xe0c41ff9a7032de445771e12c14868cbe061c993'}}"
green-ben,"{'smartbch': {'decimal_place': 18, 'contract_address': '0x77cb87b57f54667978eb1b199b28a0db8c8e1c0b'}}"
echidna,"{'avalanche': {'decimal_place': 18, 'contract_address': '0xeb8343d5284caec921f035207ca94db6baaacbcd'}}"
echodex-community-portion,"{'linea': {'decimal_place': 18, 'contract_address': '0x9201f3b9dfab7c13cd659ac5695d12d605b5f1e6'}}"
el-dorado-exchange,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4136129ac3ac90cf9817548b24d35e73e9457e05'}}"
goose-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf952fc3ca7325cc27d15885d37117676d25bfda6'}}"
ftm-guru,"{'fantom': {'decimal_place': 18, 'contract_address': '0xf43cc235e686d7bc513f53fbffb61f760c3a1882'}}"
elk-finance,"{'avalanche': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'cronos': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'telos': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'elastos': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'moonriver': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'fuse': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}, 'xdai': {'decimal_place': 18, 'contract_address': '0xeeeeeb57642040be42185f49c52f7e9b38f8eeee'}}"
empire-network,"{'empire': {'decimal_place': 18, 'contract_address': '0xc84d8d03aa41ef941721a4d77b24bb44d7c7ac55'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xf124ed9ec309907808b1fbc6bedb2a76927b3665'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xf124ed9ec309907808b1fbc6bedb2a76927b3665'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf124ed9ec309907808b1fbc6bedb2a76927b3665'}}"
eos,"{'': {'decimal_place': None, 'contract_address': ''}}"
ellipsis,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa7f552078dcc247c2684336020c03648500c6d9f'}}"
equilibrium-token,"{'': {'decimal_place': None, 'contract_address': ''}}"
equilibria-finance,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xbfbcfe8873fe28dfa25f1099282b088d52bbad9c'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x374ca32fd7934c5d43240e1e73fa9b2283468609'}}"
equalizer-dex,"{'fantom': {'decimal_place': 18, 'contract_address': '0x3fd3a0c85b70754efc07ac9ac0cbbdce664865a6'}}"
ethernity-chain,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xbbc2ae13b23d715c30720f079fcd9b4a74093505'}}"
ethereum,"{'': {'decimal_place': None, 'contract_address': ''}}"
exa,"{'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x1e925de1c68ef83bd98ee3e130ef14a50309c01b'}}"
flare-finance,"{'': {'decimal_place': 18, 'contract_address': '0xc348f894d0e939fe72c467156e6d7dcbd6f16e21'}}"
extra-finance,"{'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x2dad3a13ef0c6366220f989157009e501e7938f8'}, 'base': {'decimal_place': 18, 'contract_address': '0x2dad3a13ef0c6366220f989157009e501e7938f8'}}"
dracula-fi,"{'zksync': {'decimal_place': 18, 'contract_address': '0x160e07e42adbc1fce92d505b579bcd8a3fbea77d'}}"
harvest-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa0246c9032bc3a600820415ae600c6388619a14d'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4b5c23cac08a567ecf0c1ffca8372a45a5d33743'}, 'energi': {'decimal_place': 18, 'contract_address': '0xc59a4b20ea0f8a7e6e216e7f1b070247520a4514'}}"
ferro,"{'cronos': {'decimal_place': 18, 'contract_address': '0x39bc1e38c842c60775ce37566d03b41a7a66c782'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x2f32b39023da7d6a6486a85d12b346eb9c2a0d19'}}"
filda,"{'': {'decimal_place': 18, 'contract_address': '0xe36ffd17b2661eb57144ceaef942d95295e637f0'}}"
stafi,"{'polkadot': {'decimal_place': 18, 'contract_address': '0xef3a930e1ffffacd2fc13434ac81bd278b0ecc8d'}, 'sora': {'decimal_place': 18, 'contract_address': '0x00e6df883c9844e34b354b840e3a527f5fc6bfc937138c67908b1c8f2931f3e9'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xef3a930e1ffffacd2fc13434ac81bd278b0ecc8d'}}"
polycat-finance,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x3a3df212b7aa91aa0402b9035b098891d276572b'}}"
solarflare,"{'moonbeam': {'decimal_place': 18, 'contract_address': '0xe3e43888fa7803cdc7bea478ab327cf1a0dc11a7'}}"
flash-stake,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xb1f1f47061a7be15c69f378cb3f69423bd58f2f8'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xc628534100180582e43271448098cb2c185795bd'}}"
flair-dex,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x107d2b7c619202d994a4d044c762dd6f8e0c5326'}}"
flamingo-finance,"{'neo': {'decimal_place': None, 'contract_address': ''}}"
floki,"{'ethereum': {'decimal_place': 9, 'contract_address': '0xcf0c122c6b73ff809c693db761e7baebe62b6a2e'}, 'binance-smart-chain': {'decimal_place': 9, 'contract_address': '0xfb5b838b6cfeedc2873ab27866079ac55363d37e'}}"
velocimeter-flow,"{'canto': {'decimal_place': 18, 'contract_address': '0xb5b060055f0d1ef5174329913ef861bc3addf029'}}"
reflexer-ungovernance-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6243d8cea23066d098a15582d81a598b4e8391f4'}}"
force-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x1fcdce58959f536621d76f5b7ffb955baa5a672f'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x658a109c5900bc6d2357c87549b651670e5b0539'}}"
handle-fi,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xdb298285fe4c5410b05390ca80e8fbe9de1f259b'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xdb298285fe4c5410b05390ca80e8fbe9de1f259b'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xdb298285fe4c5410b05390ca80e8fbe9de1f259b'}}"
farmers-only,"{'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x0159ed2e06ddcd46a25e74eb8e159ce666b28687'}}"
frax-price-index-share,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xc2544a32872a91f4a553b404c6950e89de901fdb'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xd1738eb733a636d1b8665f48bc8a24da889c2562'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x3405e88af759992937b84e58f2fe691ef0eea320'}}"
frakt-token,"{'solana': {'decimal_place': 8, 'contract_address': 'ErGB9xa24Szxbk1M28u2Tx8rKPqzL6BroNkkzk5rG4zj'}}"
futureswap,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0e192d382a36de7011f795acc4391cd302003606'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x488cc08935458403a0458e45e20c0159c8ab2c92'}}"
fountain-protocol,"{'oasis': {'decimal_place': 18, 'contract_address': '0xd1df9ce4b6159441d18bd6887dbd7320a8d52a05'}}"
fantom-velocimeter,"{'fantom': {'decimal_place': 18, 'contract_address': '0x07bb65faac502d4996532f834a1b7ba5dc32ff96'}}"
