,addresses
alpha-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa1faa113cbe53436df28ff0aee54275c13b40975'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa1faa113cbe53436df28ff0aee54275c13b40975'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x2147efff675e4a4ee1c2f918d181cdbd7a8e208f'}, 'energi': {'decimal_place': 18, 'contract_address': '0x05b357201b31093a13a22d76de1b1eb23ad83017'}}"
altitude,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}}"
alongside-crypto-market-index,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf17a3fe536f8f7847f1385ec1bc967b2ca9cae8d'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xb87904db461005fc716a6bf9f2d451c33b10b80b'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x498c620c7c91c6eba2e3cd5485383f41613b7eb6'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xc27d9bc194a648fe3069955a5126699c4e49351c'}}"
amp-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xff20817765cb7f73d4bde2e66e067e58d11095c2'}, 'near-protocol': {'decimal_place': 18, 'contract_address': 'ff20817765cb7f73d4bde2e66e067e58d11095c2.factory.bridge.near'}, 'energi': {'decimal_place': 18, 'contract_address': '0xad7abe6f12f1059bdf48ae67bff92b00438ced95'}}"
angle-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x31429d1856ad1377a8a0079410b297e1a9e214c2'}}"
ankr,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8290333cef9e6d528dd5618fb97a76f268f3edd4'}, 'polygon-zkevm': {'decimal_place': 18, 'contract_address': '0xa9f2988d152f193b1b36bceddecc9c4f622e0904'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x101a023270368c0d50bffb62780f4afd4ea79c35'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x46f74778b265df3a15ec9695ccd2fd3869ca848c'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf307910a4c7bbc79691fd374889b36d8531b08e3'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x20cf1b6e9d856321ed4686877cf4538f2c84b4de'}, 'moonriver': {'decimal_place': 9, 'contract_address': '0xfd301ca82d007880e678bb750a771550c5104ff2'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x0615dbba33fe61a31c7ed131bda6655ed76748b1'}, 'energi': {'decimal_place': 18, 'contract_address': '0x456b1366783d0f5fbf0bbb89e7c9476ab328db84'}}"
apex-token-2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x52a8845df664d76c69d2eea607cd793565af42b8'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x61a1ff55c5216b636a294a07d77c6f4df10d3b56'}}"
apricot,"{'solana': {'decimal_place': 6, 'contract_address': 'APTtJyaRX5yGTsJU522N4VYWg3vCvSb65eam5GrPT5Rt'}}"
apwine,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x4104b135dbc9609fc1a9490e61369036497660c8'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x6c0ab120dbd11ba701aff6748568311668f63fe0'}}"
apollox-2,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x78f5d389f5cdccfc41594abab4b0ed02f31398b3'}}"
apy-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x95a4492f028aa1fd432ea71146b433e7b4446611'}}"
planet-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x72b7d61e8fc8cf971960dd9cfa59b8c829d91991'}}"
arbswap,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xf50874f8246776ca4b89eef471e718f70f38458f'}}"
archimedes,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x73c69d24ad28e2d43d03cbf35f79fe26ebde1011'}}"
archi-token,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x93d504070ab0eede5449c89c5ea0f5e34d8103f8'}}"
argo-finance,"{'cronos': {'decimal_place': 18, 'contract_address': '0x47a9d630dc5b28f75d3af3be3aaa982512cd89aa'}}"
arthswap,"{'astar': {'decimal_place': 18, 'contract_address': '0xde2578edec4669ba7f41c5d5d2386300bcea4678'}}"
arbitrum-exchange,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xd5954c3084a1ccd70b4da011e67760b8e78aee84'}}"
ashswap,"{'elrond': {'decimal_place': 18, 'contract_address': 'ASH-a642d1'}}"
astroswap,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x72eb7ca07399ec402c5b7aa6a65752b6a1dc0c27'}, 'velas': {'decimal_place': 18, 'contract_address': '0x72eb7ca07399ec402c5b7aa6a65752b6a1dc0c27'}}"
astroport-fi,"{'terra-2': {'decimal_place': 6, 'contract_address': 'terra1nsuqsk6kh58ulczatwev87ttq2z6r3pusulg9r24mfj2fvtzd4uq3exn26'}}"
astroport,"{'terra': {'decimal_place': None, 'contract_address': 'terra1xj49zyqrwpv5k928jwfpfy2ha668nwdgkwlrg3'}}"
asymetrix,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x67d85a291fcdc862a78812a3c26d55e28ffb2701'}}"
autoearn-token,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xd5da32ad4c7510457c0e46fa4332f75f6c4c4dc0'}}"
antfarm-governance-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0bf43350076f95e0d16120b4d6bdfa1c9d50bdbd'}}"
athena-finance,"{'metis-andromeda': {'decimal_place': 18, 'contract_address': '0xa4ee142e34d0676edc2b760dd0016003d99a4cec'}}"
astriddao-token,"{'astar': {'decimal_place': 18, 'contract_address': '0x5271d85ce4241b310c0b34b7c2f1f036686a6d7c'}}"
aura-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf'}, 'xdai': {'decimal_place': None, 'contract_address': '0x1509706a6c66ca549ff0cb464de88231ddbe213b'}}"
aurora-near,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xaaaaaa20d9e0e2461697782ef11675f668207961'}, 'aurora': {'decimal_place': 18, 'contract_address': '0x8bec47865ade3b172a928df8f990bc7f2a3b9f79'}, 'near-protocol': {'decimal_place': 18, 'contract_address': 'aaaaaa20d9e0e2461697782ef11675f668207961.factory.bridge.near'}}"
auto,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa184088a740c695e156f91f5cc086a06bb78b827'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x7f426f6dc648e50464a0392e60e1bb465a67e9cf'}}"
avalanche-2,"{'': {'decimal_place': None, 'contract_address': ''}}"
axial-token,"{'avalanche': {'decimal_place': 18, 'contract_address': '0xcf8419a615c57511807236751c0af38db4ba3351'}}"
axelar,"{'ethereum': {'decimal_place': 6, 'contract_address': '0x467719ad09025fcc6cf6f8311755809d45a5e5f3'}, 'base': {'decimal_place': 6, 'contract_address': '0x23ee2343b892b1bb63503a4fabc840e0e2c6810f'}, 'secret': {'decimal_place': 6, 'contract_address': 'secret1vcau4rkn7mvfwl8hf0dqa9p0jr59983e3qqe3z'}, 'binance-smart-chain': {'decimal_place': 6, 'contract_address': '0x8b1f4432f943c465a973fedc6d7aa50fc96f1f65'}, 'arbitrum-one': {'decimal_place': 6, 'contract_address': '0x23ee2343b892b1bb63503a4fabc840e0e2c6810f'}, 'optimistic-ethereum': {'decimal_place': 6, 'contract_address': '0x23ee2343b892b1bb63503a4fabc840e0e2c6810f'}, 'avalanche': {'decimal_place': 6, 'contract_address': '0x44c784266cf024a60e8acf2427b9857ace194c5d'}, 'polygon-pos': {'decimal_place': 6, 'contract_address': '0x6e4e624106cb12e168e6533f8ec7c82263358940'}, 'fantom': {'decimal_place': 6, 'contract_address': '0x8b1f4432f943c465a973fedc6d7aa50fc96f1f65'}, 'moonbeam': {'decimal_place': 6, 'contract_address': '0x467719ad09025fcc6cf6f8311755809d45a5e5f3'}, 'osmosis': {'decimal_place': None, 'contract_address': 'ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E'}}"
axion,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x839f1a22a59eaaf26c85958712ab32f80fea23d9'}}"
aelin,"{'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x61baadcf22d2565b0f471b291c475db5555e0b76'}}"
babyswap,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x53e562b9b7e5e94b81f10e96ee70ad06df3d2657'}}"
basis-cash,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3449fc1cd036255ba1eb19d65ff4ba2b8903a69a'}}"
badger-dao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3472a5a71965499acd81997a54bba8d852c6e53d'}, 'xdai': {'decimal_place': 18, 'contract_address': '0xdfc20ae04ed70bd9c7d720f449eedae19f659d65'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xbfa641051ba0a0ad1b0acf549a89536a0d76472e'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x753fbc5800a8c8e3fb6dc6415810d627a387dfc9'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x06b19a0ce12dc71f1c7a6dd39e8983e089c40e0d'}, 'energi': {'decimal_place': 18, 'contract_address': '0x32e6842a6ea6a913687885ac856c2493b5b12f6f'}}"
bakerytoken,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xe02df9e3e622debdd69fb838bb799e3f168902c5'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x4da9464daf2b878e32e29115e2cfd786fe84692a'}}"
balancer,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xba100000625a3754423978a60c9317c58a424e3d'}, 'base': {'decimal_place': 18, 'contract_address': '0x4158734d47fc9692176b5085e0f52ee0da5d47f1'}, 'near-protocol': {'decimal_place': 18, 'contract_address': 'ba100000625a3754423978a60c9317c58a424e3d.factory.bridge.near'}, 'xdai': {'decimal_place': 18, 'contract_address': '0x7ef541e2a22058048904fe5744f9c7e4c57af717'}, 'polygon-zkevm': {'decimal_place': 18, 'contract_address': '0x120ef59b80774f02211563834d8e3b72cb1649d6'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xfe8b128ba8c78aabc59d4c64cee7ff28e9379921'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x045de15ca76e76426e8fc7cba8392a3138078d0f'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xe15bcb9e0ea69e6ab9fa080c4c4a5632896298c3'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0xdc5f76104d0b8d2bf2c2bbe06cdfe17004e9010f'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8'}, 'energi': {'decimal_place': 18, 'contract_address': '0x9b817c6e9a38e604606aea3ad6ed271ce8eaa9d6'}}"
balance-tokens,"{'icon': {'decimal_place': 18, 'contract_address': 'cxf61cd5a45dc9f91c15aa65831a30a90d59a09619'}}"
apeswap-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95'}, 'telos': {'decimal_place': 18, 'contract_address': '0x667fd83e24ca1d935d36717d305d54fa0cac991c'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xd978f8489e1245568704407a479a71fcce2afe8f'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x5d47baba0d66083c52009271faf3f50dcc01023c'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x92df60c51c710a1b1c20e42d85e221f3a1bfc7f2'}}"
float-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x24a6a37576377f63f194caa5f518a60f45b42921'}}"
bao-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x374cb8c27130e2c9e04f44303f3c8351b9de61c1'}, 'energi': {'decimal_place': 18, 'contract_address': '0x04cb6ed1d4cef27b2b0d42d628f57ee223d6beee'}}"
base,"{'base': {'decimal_place': 18, 'contract_address': '0xd07379a755a8f11b57610154861d694b2a0f615a'}}"
based-finance,"{'fantom': {'decimal_place': 18, 'contract_address': '0x8d7d3409881b51466b483b11ea1b8a03cded89ae'}}"
baso-finance,"{'base': {'decimal_place': 18, 'contract_address': '0x23e1a3bcdcee4c59209d8871140eb7dd2bd9d1ce'}}"
baklava,"{'avalanche': {'decimal_place': 18, 'contract_address': '0xe19a1684873fab5fb694cfd06607100a632ff21c'}}"
big-data-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf3dcbc6d72a4e1892f7917b7c43b74131df8480e'}}"
becoswap-token,"{'kardiachain': {'decimal_place': 18, 'contract_address': '0x2eddba8b949048861d2272068a94792275a51658'}}"
beethoven-x,"{'fantom': {'decimal_place': 18, 'contract_address': '0xf24bcf4d1e507740041c9cfd2dddb29585adce1e'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x97513e975a7fa9072c72c92d8000b0db90b163c5'}}"
bella-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa91ac63d040deb1b7a5e4d4134ad23eb0ba07e14'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8443f091997f06a61670b735ed92734f5628692f'}}"
beluga-protocol,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x09090e22118b375f2c7b95420c04414e4bf68e1a'}}"
belt,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xe0e514c71282b6f4e823703a39374cf58dc3ea4f'}}"
benddao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0d02755a5700414b26ff040e1de35d337df56218'}}"
beta-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xbe1a001fe942f96eea22ba08783140b9dcc09d28'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xbe1a001fe942f96eea22ba08783140b9dcc09d28'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x511d35c52a3c244e7b8bd92c0c297755fbd89212'}}"
ibuffer-token,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x1a5b0aaf478bf1fda7b934c76e7692d722982a6d'}}"
beefy-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xca3f508b8e4dd382ee878a314789373d80a5190a'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x765277eebeca2e31912c9946eae1021199b39c61'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xd6070ae98b8069de6b494332d1a1a81b6179d960'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xd6070ae98b8069de6b494332d1a1a81b6179d960'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xfbdd194376de19a88118e84e279b977f165d01b8'}, 'harmony-shard-0': {'decimal_place': None, 'contract_address': '0x6ab6d61428fde76768d7b45d8bfeec19c6ef91a8'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x99c409e5f62e4bd2ac142f17cafb6810b8f0baae'}, 'celo': {'decimal_place': 18, 'contract_address': '0x639a647fbe20b6c8ac19e48e2de44ea792c62c5c'}, 'moonriver': {'decimal_place': 18, 'contract_address': '0x173fd7434b8b50df08e3298f173487ebdb35fd14'}, 'cronos': {'decimal_place': 18, 'contract_address': '0xe6801928061cdbe32ac5ad0634427e140efd05f9'}, 'metis-andromeda': {'decimal_place': 18, 'contract_address': '0xe6801928061cdbe32ac5ad0634427e140efd05f9'}, 'fuse': {'decimal_place': 18, 'contract_address': '0x2bf9b864cdc97b08b6d79ad4663e71b8ab65c45c'}, 'aurora': {'decimal_place': 18, 'contract_address': '0x218c3c3d49d0e7b37aff0d8bb079de36ae61a4c0'}}"
bolide,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8a7adc1b690e81c758f1bd0f72dfe27ae6ec56a5'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x4b27cd6e6a5e83d236ead376d256fe2f9e9f0d2e'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x766afcf83fd5eaf884b3d529b432ca27a6d84617'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x81de4945807bb31425362f8f7109c18e3dc4f8f0'}}"
blueshift,"{'cardano': {'decimal_place': 6, 'contract_address': 'e043fd7b2076ea9e1b279d200b59e153bf6b299a72ce6e2c14aeb790424c554553'}}"
blur,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x5283d291dbcf85356a21ba090e6db59121208b44'}}"
bridge-mutual,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x725c263e32c72ddc3a19bea12c5a0479a81ee688'}}"
binancecoin,"{'': {'decimal_place': None, 'contract_address': ''}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xb8c77482e45f1f44de1745f52c74426c631bdd52'}}"
bifrost-native-coin,"{'polkadot': {'decimal_place': None, 'contract_address': ''}}"
bancor,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c'}, 'energi': {'decimal_place': 18, 'contract_address': '0x9419e8edcf570a71eb0dd006602949742b711a80'}}"
barnbridge,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0391d2021f89dc339f60fff84546ea23e337750f'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x0d81e50bc677fa67341c44d7eaa9228dee64a4e1'}, 'optimistic-ethereum': {'decimal_place': 17, 'contract_address': '0x3e7ef8f50246f725885102e8238cbba33f276747'}}"
bone-shibaswap,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x9813037ee2218799597d83d4a5b6f3b6778218d9'}}"
spookyswap,"{'fantom': {'decimal_place': 18, 'contract_address': '0x841fad6eae12c286d1fd18d1d525dffa75c7effe'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xbd83010eb60f12112908774998f65761cf9f6f9a'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x55af5865807b196bd0197e0902746f31fbccfa58'}}"
